Operator,Active,Idle,Plugged,New,Unknown,Total
Western Metals Corporation,2,0,0,0,0,2
Hiwa Petroleum Corp.,1,1,0,0,0,2
Jean Martinez,1,0,1,0,0,2
McDonald Ranch Partnership,1,0,1,0,0,2
William H. Fisk,1,0,1,0,0,2
A. R. Norris,0,2,0,0,0,2
Adams Drilling & Oil Co.,0,2,0,0,0,2
"Albert L. Cheney, Trustee",0,2,0,0,0,2
American Oilfield Co.,0,2,0,0,0,2
Antelope Oil & Gas Co.,0,2,0,0,0,2
Are-Bee Oil Syndicate,0,2,0,0,0,2
Arl Oil Co.,0,2,0,0,0,2
Avenal Land & Oil Co.,0,2,0,0,0,2
Barnett Rosenburg,0,2,0,0,0,2
Bayers & Roberts,0,2,0,0,0,2
Big Five Oil Co.,0,2,0,0,0,2
Bill Nye Oil Co.,0,2,0,0,0,2
C. B. Lones,0,2,0,0,0,2
C. R. Schuster,0,2,0,0,0,2
California Northern Petro. Co.,0,2,0,0,0,2
Califranco Oil Co.,0,2,0,0,0,2
Chicago Ferndale Oil Co.,0,2,0,0,0,2
Clearwater Petro. Co.,0,2,0,0,0,2
"Crockett Drilling Synd., Inc.",0,2,0,0,0,2
Dogget & Fletcher,0,2,0,0,0,2
Doran & Brouse,0,2,0,0,0,2
Doris V. Yu Revocable Trust,0,2,0,0,0,2
"EcoTech EOR, LLC",0,2,0,0,0,2
F. E. Bundy,0,2,0,0,0,2
Fairview Oil Co.,0,2,0,0,0,2
Fletcher Oil & Refining Co.,0,2,0,0,0,2
Frank Davis,0,2,0,0,0,2
G. W. Albright,0,2,0,0,0,2
Geo. Geigrich,0,2,0,0,0,2
Geo. Lawrence,0,2,0,0,0,2
George Ford,0,2,0,0,0,2
H. B. Carter,0,2,0,0,0,2
H. H. Harrison,0,2,0,0,0,2
Hardly Able Oil Co. (Pre 1977),0,2,0,0,0,2
Helen Sanborn,0,2,0,0,0,2
Henry Harper,0,2,0,0,0,2
Herman Fisher,0,2,0,0,0,2
J. Trafton,0,2,0,0,0,2
Johnson Newman,0,2,0,0,0,2
Joseph Hummel,0,2,0,0,0,2
K & J Oil Co. Inc.,0,2,0,0,0,2
Kings Co.,0,2,0,0,0,2
L. B. Chase Oil Co.,0,2,0,0,0,2
L. F. Bassett and Blaine White,0,2,0,0,0,2
L. W. Rippeto,0,2,0,0,0,2
Lamona Oil Association,0,2,0,0,0,2
Leasure Family Trust,0,2,0,0,0,2
Liberty Petroleum Co.,0,2,0,0,0,2
Little Oil Co.,0,2,0,0,0,2
Lompoc Petroleum Co.,0,2,0,0,0,2
Lora J. Oil Co.,0,2,0,0,0,2
Lost Hills Syndicate,0,2,0,0,0,2
Lyceum Oil Syndicate,0,2,0,0,0,2
Maier & Zoblein Brewing Co.,0,2,0,0,0,2
Mark L. Hawley,0,2,0,0,0,2
Mericos Oil Co.,0,2,0,0,0,2
Montebello Oil syndicate,0,2,0,0,0,2
Mrs. Manett,0,2,0,0,0,2
N. Conkhite,0,2,0,0,0,2
Nettleton & Kellerman,0,2,0,0,0,2
North Whittier Oil Co.,0,2,0,0,0,2
Off Broadway Mineral Rights,0,2,0,0,0,2
Oil King Oil Co.,0,2,0,0,0,2
"Orchard E&P, LLC",0,2,0,0,0,2
Panoche Vallecitos Oil Co.,0,2,0,0,0,2
Phoenix Oil Co.,0,2,0,0,0,2
Rieder-Haag Company,0,2,0,0,0,2
Spadra Oil Co.,0,2,0,0,0,2
Tanksley & Southard,0,2,0,0,0,2
"Underground Energy, Inc.",0,2,0,0,0,2
Union Jack Oil Co.,0,2,0,0,0,2
W. Dryden,0,2,0,0,0,2
W. S. Collins,0,2,0,0,0,2
Whittier Ext Mutual Water Co.,0,2,0,0,0,2
Yankee Girl Oil Co.,0,2,0,0,0,2
A. J. Singer,0,1,1,0,0,2
A. P. Wallace,0,1,1,0,0,2
A. W. Duncan,0,1,1,0,0,2
Amazon Drilling Corp.,0,1,1,0,0,2
America Oil Co.,0,1,1,0,0,2
Andrew M. Anderson,0,1,1,0,0,2
Arcadia Oil Co.,0,1,1,0,0,2
Arctic Oil Co.,0,1,1,0,0,2
Arizona Oil Co.,0,1,1,0,0,2
B & G Development Co.,0,1,1,0,0,2
B. A. Laselle & J.L. Van Disse,0,1,1,0,0,2
B. D. Owens,0,1,1,0,0,2
Biltmore Petro. Corp.,0,1,1,0,0,2
Birch & Royer,0,1,1,0,0,2
Black Pearl Oil Co.,0,1,1,0,0,2
Bonded Oil Syndicate,0,1,1,0,0,2
Burton Benwell,0,1,1,0,0,2
C & F Oil Co.,0,1,1,0,0,2
C. S. Akers,0,1,1,0,0,2
California Frost Preventative Co.,0,1,1,0,0,2
California Pacific Oil Co.,0,1,1,0,0,2
Carson Oil Corp.,0,1,1,0,0,2
Chas. W. Fourl,0,1,1,0,0,2
Coast Line Oil Co.,0,1,1,0,0,2
Commercial Oil Co.,0,1,1,0,0,2
Conejo Syndicate,0,1,1,0,0,2
Cosmopolitan Oil Co.,0,1,1,0,0,2
Courtney Petro. Co.,0,1,1,0,0,2
D. S. White,0,1,1,0,0,2
Del Rosa Oil & Gas Co.,0,1,1,0,0,2
"Delhi Oil Association, Ltd.",0,1,1,0,0,2
Dollar Oil Corp. Ltd.,0,1,1,0,0,2
E G Lewis,0,1,1,0,0,2
E. & G. Products Co.,0,1,1,0,0,2
E. A. Lamb,0,1,1,0,0,2
E. R. Carey,0,1,1,0,0,2
E. T. Edwards,0,1,1,0,0,2
Eastern Interion Oil Co.,0,1,1,0,0,2
Elbe Oil Land Dev. Co.,0,1,1,0,0,2
Elk Hills Pool Oil Co.,0,1,1,0,0,2
Equitable Oil Syndicate No. 1,0,1,1,0,0,2
Esperanza Land & Oil Co.,0,1,1,0,0,2
Fearless Oil Co.,0,1,1,0,0,2
Fred A. Walker,0,1,1,0,0,2
Frontier Oil Co.,0,1,1,0,0,2
Gasch & Associates,0,1,1,0,0,2
George A. Denison,0,1,1,0,0,2
George Blair,0,1,1,0,0,2
Golden Dome Oil Co. Inc.,0,1,1,0,0,2
Golden West Crude Oil Co.,0,1,1,0,0,2
"Green Earth Resources, Inc.",0,1,1,0,0,2
Green Mt. Oil Co.,0,1,1,0,0,2
Harris Oil Co.,0,1,1,0,0,2
Harry Crinklaw,0,1,1,0,0,2
HB12 Partners LLC,0,1,1,0,0,2
Hesperia Oil & Gas Co. of Calif.,0,1,1,0,0,2
Huntington Downey Oil Co.,0,1,1,0,0,2
Hutchinson Bros. & Teel,0,1,1,0,0,2
Industrial Oil Syndicate #4,0,1,1,0,0,2
J. E. & R. H. McCreary,0,1,1,0,0,2
J. G. Tavares,0,1,1,0,0,2
Joseph K. Tobin,0,1,1,0,0,2
Kirkpatrick Syndicate 2,0,1,1,0,0,2
La Merced Drilling Co.,0,1,1,0,0,2
Laddie Boy Nos. 1 & 2,0,1,1,0,0,2
Lena Pauline Savage,0,1,1,0,0,2
Los Gatos Oil Co.,0,1,1,0,0,2
M. W. Mcvey,0,1,1,0,0,2
"Medley Oil & Gas, LLC",0,1,1,0,0,2
Montebello Mascot Oil Co.,0,1,1,0,0,2
Morris Harris,0,1,1,0,0,2
Mountainhouse Oil Co.,0,1,1,0,0,2
National Gas Syndicate,0,1,1,0,0,2
National Security Oil Co.,0,1,1,0,0,2
Nevada Signal Hill Oil Co.,0,1,1,0,0,2
Nevada Ventura Oil Synd.,0,1,1,0,0,2
North Valley Gaswell Services,0,1,1,0,0,2
"Northstar Resources, Inc.",0,1,1,0,0,2
O. R. Howard & Co.,0,1,1,0,0,2
Oro Negro Oil Co.,0,1,1,0,0,2
Pioneer Development Company,0,1,1,0,0,2
R. E. Ibbetson Drilling Co.,0,1,1,0,0,2
Reliance Home Investment Co.,0,1,1,0,0,2
Rucker and Croul,0,1,1,0,0,2
San Bernardino & Colton Oil Co.,0,1,1,0,0,2
Santa Fe Springs Oil synd. No. 2,0,1,1,0,0,2
Santiago Oil Co.,0,1,1,0,0,2
Shallow Field Oil Co.,0,1,1,0,0,2
Shamrock Drilling Co.,0,1,1,0,0,2
Silverado Oil Co.,0,1,1,0,0,2
South Fullerton Oil Co.,0,1,1,0,0,2
Southeastern Limited Oil Co.,0,1,1,0,0,2
Southern California Oil Co.,0,1,1,0,0,2
Stewart Anderson Syndicates,0,1,1,0,0,2
Sugar Loaf Oil Assoc.,0,1,1,0,0,2
T & M Exploration Company,0,1,1,0,0,2
Temblor Oil Co.,0,1,1,0,0,2
The MacGregor Corp.,0,1,1,0,0,2
Three for One Oil Royalties,0,1,1,0,0,2
Title Insurance & Trust Co.,0,1,1,0,0,2
Tri-Field Producers Syndicate,0,1,1,0,0,2
Tucker & Johnston Lease,0,1,1,0,0,2
"Tureco Oil Co., Ltd.",0,1,1,0,0,2
Ventura Consolidated Oil Co.,0,1,1,0,0,2
Ventura Oil syndicate #1,0,1,1,0,0,2
Veta Grande Development Co.,0,1,1,0,0,2
White Eagle Petroleum Co.,0,1,1,0,0,2
Whittier Grande Oil Co.,0,1,1,0,0,2
Wm E. Garner,0,1,1,0,0,2
10622 Court Ave LLC,0,0,2,0,0,2
3-J Oil Operators,0,0,2,0,0,2
"3279 Bernard L.P., A California Limited Partnership",0,0,2,0,0,2
6200 GR LLC,0,0,2,0,0,2
"888-6 Partners, LLC",0,0,2,0,0,2
A-1 Oil Well Service Co.,0,0,2,0,0,2
A. D. Mitchell & Son,0,0,2,0,0,2
"A. G. Linkletter, Operator",0,0,2,0,0,2
A. J. Louden,0,0,2,0,0,2
"A. J. Petersen, Oil Oper.",0,0,2,0,0,2
A. J. Ross,0,0,2,0,0,2
A. M. Nahabedian Opr.,0,0,2,0,0,2
A. O. Lewis,0,0,2,0,0,2
Acme Petroleum Co.,0,0,2,0,0,2
Admiral Oil Company,0,0,2,0,0,2
Aetna Oil Co.,0,0,2,0,0,2
"AEW/O'Donnell, LLC",0,0,2,0,0,2
Agoil Co.,0,0,2,0,0,2
Airways Petro. Corp.,0,0,2,0,0,2
Alamitos Oil Co.,0,0,2,0,0,2
Alford Drilling and Exp. Co.,0,0,2,0,0,2
Alfred T Lockwood et al,0,0,2,0,0,2
Alligator Oil Co.,0,0,2,0,0,2
Allison & Prestridge,0,0,2,0,0,2
Almar Oil Co.,0,0,2,0,0,2
Aloha Oil Co.,0,0,2,0,0,2
Alphonzo E. Bell Corporation,0,0,2,0,0,2
Alpoil Co.,0,0,2,0,0,2
Altadena Oil Co.,0,0,2,0,0,2
Alvin O. Preszler,0,0,2,0,0,2
Amador Expl. Co.,0,0,2,0,0,2
Amalgamated Oil & Gas Corp.,0,0,2,0,0,2
Ambassador Oil Corp.,0,0,2,0,0,2
American Copper Company,0,0,2,0,0,2
American Placers Inc,0,0,2,0,0,2
American Reserve Oil Company,0,0,2,0,0,2
"Aminoil USA, Inc. & Dwight G. Vedder",0,0,2,0,0,2
Amy B. Rust,0,0,2,0,0,2
Andrew Lin,0,0,2,0,0,2
Andrews & Lancaster,0,0,2,0,0,2
Anglo-Calif Oil Synd,0,0,2,0,0,2
Anthonian Drilling Co.,0,0,2,0,0,2
Anthony Oberholtz,0,0,2,0,0,2
APC Operating Partnership,0,0,2,0,0,2
Applegate & Herwick,0,0,2,0,0,2
Aquarian Petro. Corp.,0,0,2,0,0,2
Archie C. Myers,0,0,2,0,0,2
Armor Petroleum Ltd.,0,0,2,0,0,2
Arthur Studley,0,0,2,0,0,2
Asioco Inc.,0,0,2,0,0,2
Associated Dev. Co.,0,0,2,0,0,2
Associated Piping & Engineering Co.,0,0,2,0,0,2
Atascadero Oil Co.,0,0,2,0,0,2
Atlantic & Western Oil Co.,0,0,2,0,0,2
Atlantic Oil Co.-Miller & Ford,0,0,2,0,0,2
Azores Oil Co.,0,0,2,0,0,2
B & T Drilling,0,0,2,0,0,2
B. B. Beckenridge,0,0,2,0,0,2
B. C. Barnes,0,0,2,0,0,2
B. C. Morrison,0,0,2,0,0,2
B. F. DeLanty,0,0,2,0,0,2
B. J. Marks Family,0,0,2,0,0,2
B. Milo Mitchel,0,0,2,0,0,2
"B. W. Freudenthal, James T. Dowling and John T. Holt",0,0,2,0,0,2
Baker-Grover Oil,0,0,2,0,0,2
Bakersfield Oil Company,0,0,2,0,0,2
Bard Oil & Asphalt Co.,0,0,2,0,0,2
Bardeen Petro. Co. Ltd.,0,0,2,0,0,2
Bardsdale Canon,0,0,2,0,0,2
Bartholomae Oil Corporation,0,0,2,0,0,2
Bass & Goodknight,0,0,2,0,0,2
Bastanchury Oil Co.,0,0,2,0,0,2
"Battaglia, Wolfson and Barnes",0,0,2,0,0,2
Bee Oil Co.,0,0,2,0,0,2
Belco Petro. Corp.,0,0,2,0,0,2
Belinda Petro & Intex Oil,0,0,2,0,0,2
"Bell & Burden, Inc.",0,0,2,0,0,2
Belmont Oil Co.,0,0,2,0,0,2
Belridge Oil Co.,0,0,2,0,0,2
Ben and Reuben Mooschekian,0,0,2,0,0,2
Ben D. Owens,0,0,2,0,0,2
Benito-Huntington Oil Co.,0,0,2,0,0,2
Benjamin D. Leverett,0,0,2,0,0,2
"Benjamin D. Leverett, Operator",0,0,2,0,0,2
Benjamin F. Bailard,0,0,2,0,0,2
Berenergy Corporation,0,0,2,0,0,2
"Berg, Laney & Brown",0,0,2,0,0,2
Bergman Oil Company,0,0,2,0,0,2
Bessie Berman,0,0,2,0,0,2
Betsy Corp.,0,0,2,0,0,2
Beulah Oil Co.,0,0,2,0,0,2
Beverly-Montebello Oil Co.,0,0,2,0,0,2
BHTH,0,0,2,0,0,2
Big Eight Oil Company,0,0,2,0,0,2
Birch-Royer Oil Company,0,0,2,0,0,2
Birch Ranch & Oil & I.S.Burgess,0,0,2,0,0,2
Bitterwater Dev. Co.,0,0,2,0,0,2
Blair Oil Co.,0,0,2,0,0,2
Blake and Frampton,0,0,2,0,0,2
"Blosser Fee Owner, LLC",0,0,2,0,0,2
Blue Ridge Oil Co.,0,0,2,0,0,2
Bluebell Oil Co.,0,0,2,0,0,2
Bob Crupper,0,0,2,0,0,2
Boe Tunstall Co.,0,0,2,0,0,2
"Bolthouse Properties, LLC",0,0,2,0,0,2
Boswell Perforating Co.,0,0,2,0,0,2
Bradley Oil Co.,0,0,2,0,0,2
Bravo Oil Co.,0,0,2,0,0,2
Brea-Olinda Oil Co.,0,0,2,0,0,2
Brown-Saffold Drilling Co.,0,0,2,0,0,2
"Browning-Ferris Industries of California, Inc.",0,0,2,0,0,2
Buaas Dev. Co.,0,0,2,0,0,2
Burl G. Varner,0,0,2,0,0,2
Burnett Co.,0,0,2,0,0,2
Bushnell Oil Corp.,0,0,2,0,0,2
Buttes Resources Company,0,0,2,0,0,2
Buttram Oil Co.,0,0,2,0,0,2
"C&C Mountaingate, Inc.",0,0,2,0,0,2
C. A. Luckey,0,0,2,0,0,2
C. A. Maino,0,0,2,0,0,2
C. C. Herwick,0,0,2,0,0,2
C. C. Julian and Co.,0,0,2,0,0,2
C. G. Willis,0,0,2,0,0,2
C. H. Whittier,0,0,2,0,0,2
C. Harris-D Horne & P Neig,0,0,2,0,0,2
C. M. S. Oil and Drilling Co.,0,0,2,0,0,2
C. S. Blinn & J.W. Aidlin,0,0,2,0,0,2
C. T. Dougherty,0,0,2,0,0,2
C.K.M. Oil Co.,0,0,2,0,0,2
Cabot Petro. Corp.,0,0,2,0,0,2
Cajon Oil Co.,0,0,2,0,0,2
"Cajon Oil Co., Ltd.",0,0,2,0,0,2
Cal-American Pet. Corp.,0,0,2,0,0,2
Cal-Oak Oil Co.,0,0,2,0,0,2
"Cal Farm Invest, Inc.",0,0,2,0,0,2
Cal Oil and Gas Company,0,0,2,0,0,2
Calif Exploration Co.,0,0,2,0,0,2
Calif Petro Prod Co.,0,0,2,0,0,2
Calif.-Wyoming Oil Producers,0,0,2,0,0,2
California-Time Petroleum Company,0,0,2,0,0,2
California Marine Oil & Refining Co.,0,0,2,0,0,2
California Prod. Co.,0,0,2,0,0,2
"California/Nevada Developments, LLC",0,0,2,0,0,2
Calitex Land & Dev. Co.,0,0,2,0,0,2
Calpetro Producers Synd.,0,0,2,0,0,2
Calplans Resources,0,0,2,0,0,2
Calray Petro. Corp.,0,0,2,0,0,2
Calumet Gold Mines Co.,0,0,2,0,0,2
Caminol Co.,0,0,2,0,0,2
Campbell and Shell Incorporated,0,0,2,0,0,2
Camrich Drilling Co.,0,0,2,0,0,2
Canadian Queen Oil Co.,0,0,2,0,0,2
"Cape Mendocino Oil Co., Inc.",0,0,2,0,0,2
Capital Production Company,0,0,2,0,0,2
Carissa Oil Company,0,0,2,0,0,2
Carl Long,0,0,2,0,0,2
Carl M. Weaver,0,0,2,0,0,2
Carpinteria Oil Co.,0,0,2,0,0,2
Carson Dominguez Real Est Corp,0,0,2,0,0,2
Casitas Oil Co.,0,0,2,0,0,2
Casmalia Ranch Oil & Dev.,0,0,2,0,0,2
Castaic Highlands Oil Co.,0,0,2,0,0,2
Cather & McCallen Wells,0,0,2,0,0,2
CD Cunningham & HP MaCauley,0,0,2,0,0,2
Cecil Basenberg,0,0,2,0,0,2
"Cedric E. Brown Gas & Oil Co., Ltd.",0,0,2,0,0,2
Central Calif. Expl. Co.,0,0,2,0,0,2
Centralia Oil Company,0,0,2,0,0,2
Century Production Inc.,0,0,2,0,0,2
Century Service Inc.,0,0,2,0,0,2
"Cerutti & Thompson Trans. Co., Oper.",0,0,2,0,0,2
"Chadmar/Colfin Rolling Hills, LLC",0,0,2,0,0,2
Chalmers-Santa Fe LLC,0,0,2,0,0,2
Channel Oil & Devl Co. Ltd,0,0,2,0,0,2
Charles F. Holmes,0,0,2,0,0,2
Charles Howard,0,0,2,0,0,2
Charles L Ross,0,0,2,0,0,2
Charles R North,0,0,2,0,0,2
Chas Taylor Johnson,0,0,2,0,0,2
Chas. R. Jacobson,0,0,2,0,0,2
Chaz Oil Corp.,0,0,2,0,0,2
"Chevron USA, Inc.",0,0,2,0,0,2
Cholame Oil Co.,0,0,2,0,0,2
Circle Oil Co.,0,0,2,0,0,2
Cities Service Company,0,0,2,0,0,2
City and County of San Francisco,0,0,2,0,0,2
"City Ventures Homebuilding, LLC",0,0,2,0,0,2
Cleary Petroleum Corporation,0,0,2,0,0,2
Cleveland Oil Company,0,0,2,0,0,2
Coalinga Royal Oil Co.,0,0,2,0,0,2
Coalinga Sulfur Baths & Plunge,0,0,2,0,0,2
Coawaca Petrol Corp.,0,0,2,0,0,2
"Coloma Oil Co., Ltd.",0,0,2,0,0,2
Colony Oil Co.,0,0,2,0,0,2
Colorado Oil & Gas Corp.,0,0,2,0,0,2
Columbia Oil Co.,0,0,2,0,0,2
Columbian Oil Asphalt & Refinery,0,0,2,0,0,2
Colusa Expl. Co.,0,0,2,0,0,2
Combine Oil Co.,0,0,2,0,0,2
Commercial - Petro Gas Inc.,0,0,2,0,0,2
"Commonwealth Consol. Gas, Ltd.",0,0,2,0,0,2
Compton Oil Co.,0,0,2,0,0,2
"Comstock Housing, Inc.",0,0,2,0,0,2
Conejo Oil Syndicate,0,0,2,0,0,2
"Continental U.S. Exploration, Inc.",0,0,2,0,0,2
Convoy Petro. Co.,0,0,2,0,0,2
Cooper Petro. Co.,0,0,2,0,0,2
"Cordova Oil Co., Ltd.",0,0,2,0,0,2
Corona Development Co. Inc.,0,0,2,0,0,2
"Corona Holding, LLC",0,0,2,0,0,2
"Corrigan Petro. Corp., Ltd.",0,0,2,0,0,2
Cox & Ferguson,0,0,2,0,0,2
Crawford and Hiles,0,0,2,0,0,2
Crawford Henly,0,0,2,0,0,2
Creme Petro.,0,0,2,0,0,2
Crestmont Oil & Gas Co.,0,0,2,0,0,2
Crimson Resource Mgmt.,0,0,2,0,0,2
Crown Drilling Co.,0,0,2,0,0,2
Crude Oil Co.,0,0,2,0,0,2
Cuyama Oil Co.,0,0,2,0,0,2
Cymric Oil Co.,0,0,2,0,0,2
D & S Oil Co.,0,0,2,0,0,2
D. M. Hollingsworth,0,0,2,0,0,2
D. S. Fletcher,0,0,2,0,0,2
D. W. Elliott,0,0,2,0,0,2
"D. W. Elliott, Inc.",0,0,2,0,0,2
"Dahlquist Drilling, Inc.",0,0,2,0,0,2
Daniel Fisher,0,0,2,0,0,2
"Daniel W. Elliott, Jr. Operator",0,0,2,0,0,2
Danish Oil & Devl Co.,0,0,2,0,0,2
David Jacoby,0,0,2,0,0,2
"David R. Faries, Trustee",0,0,2,0,0,2
"Davis, Edward G.",0,0,2,0,0,2
Dawson Devl Co.,0,0,2,0,0,2
Day Oil Co.,0,0,2,0,0,2
Delta Petro. Co.,0,0,2,0,0,2
Delta Petroleum Corporation,0,0,2,0,0,2
Department of Conservation,0,0,2,0,0,2
Derby Farms,0,0,2,0,0,2
Desco Oil Company,0,0,2,0,0,2
Devil's Den Products Co.,0,0,2,0,0,2
Devils Den Oil Company,0,0,2,0,0,2
"Dil-Harp Oil, Ltd.",0,0,2,0,0,2
Dixie Dome Oil Co.,0,0,2,0,0,2
DLM Ventures,0,0,2,0,0,2
Don H. Skone,0,0,2,0,0,2
Dos Lobos Oil Co.,0,0,2,0,0,2
Dow Chemical Co.,0,0,2,0,0,2
Dr. George G. Averill,0,0,2,0,0,2
Drilling & Expl Co. Inc.,0,0,2,0,0,2
"DRL, Inc.",0,0,2,0,0,2
Dudley Dome Oil & Gas Co.,0,0,2,0,0,2
"Dumm Bros., Olympic Ref.",0,0,2,0,0,2
Duncan MacLeod,0,0,2,0,0,2
E-Z Serve of CA Inc.,0,0,2,0,0,2
E. B. & M.,0,0,2,0,0,2
E. B. Guess,0,0,2,0,0,2
E. E. Fogelson,0,0,2,0,0,2
E. G. Starr,0,0,2,0,0,2
E. H. Christian Drilling Co.,0,0,2,0,0,2
E. H. Moore Inc.,0,0,2,0,0,2
E. J. Harp,0,0,2,0,0,2
E. J. Miller,0,0,2,0,0,2
E. L. Blanton,0,0,2,0,0,2
E. M. Easton,0,0,2,0,0,2
E. P. Jennings,0,0,2,0,0,2
E. T. Wix,0,0,2,0,0,2
E. V. Edmondson,0,0,2,0,0,2
"Eagle Oil & Gas Co., Ltd.",0,0,2,0,0,2
Eagle Oil & Refining Co. Inc.,0,0,2,0,0,2
Eagle Petro. Consultants,0,0,2,0,0,2
East Edison Oil Co.,0,0,2,0,0,2
East Montebello Oil Co.,0,0,2,0,0,2
Eastern American Energy Corp.,0,0,2,0,0,2
"Ebonoro Oil Company, Inc.",0,0,2,0,0,2
Edco Oil Co.,0,0,2,0,0,2
Edison Oil Co.,0,0,2,0,0,2
Edward Lustgarten and Ned Barmore,0,0,2,0,0,2
"Edward Mike Davis, L.L.C.",0,0,2,0,0,2
"Edward Tsutomu Nakama and Kiyoko Nakama, Trustee of the Nakama Family Trust dated May 20, 1986",0,0,2,0,0,2
"Edwin J. Champion, Hemphill & Schneider",0,0,2,0,0,2
Edwin W. & Harold R. Pauley,0,0,2,0,0,2
Edwin W. Pauley & D Frankel,0,0,2,0,0,2
Ekoh Oil Co.,0,0,2,0,0,2
El Chico Corp.,0,0,2,0,0,2
El Segundo Oil Co.,0,0,2,0,0,2
Elbee Petroleum Co.,0,0,2,0,0,2
"Elf Aquitaine, Inc.",0,0,2,0,0,2
Eljohn Petroleum Corporation,0,0,2,0,0,2
Elk Hills Central Oil Co.,0,0,2,0,0,2
Elk Hills Development Co.,0,0,2,0,0,2
Elko Drilling Company,0,0,2,0,0,2
Elliott Consolidated Oil Co.,0,0,2,0,0,2
Elmer A. Roth,0,0,2,0,0,2
Elmer B. Stone,0,0,2,0,0,2
Ember Oil and Gas Co.,0,0,2,0,0,2
"Emerald Trail, LLC",0,0,2,0,0,2
Emil L. Menveg,0,0,2,0,0,2
Emmett J. Culligan,0,0,2,0,0,2
Energy Development Corp.,0,0,2,0,0,2
Erie Oil Co.,0,0,2,0,0,2
Erin Oil Co.,0,0,2,0,0,2
Esendee Company,0,0,2,0,0,2
Estate of Frederick A. Speik,0,0,2,0,0,2
Estate of L. C. Dougan,0,0,2,0,0,2
Estate of L. H. Benningsdorf,0,0,2,0,0,2
Estate of Roy J. Berryhill,0,0,2,0,0,2
Estate of T. E. Hotz,0,0,2,0,0,2
Estate of V R Smith,0,0,2,0,0,2
Estes-Cross Co.,0,0,2,0,0,2
Ethyl Oil Co.,0,0,2,0,0,2
Euclid Petro. Co. Inc.,0,0,2,0,0,2
Eureka Crude,0,0,2,0,0,2
Evangelical Free Church,0,0,2,0,0,2
Ewan Oil Co.,0,0,2,0,0,2
Excel-Mineral Co.,0,0,2,0,0,2
Ezra Taylor,0,0,2,0,0,2
F. A. Miller,0,0,2,0,0,2
F. A. Winchester,0,0,2,0,0,2
F. C. Fabry & L C Bowles,0,0,2,0,0,2
F. H. Allen,0,0,2,0,0,2
F. R. Anderson Associates,0,0,2,0,0,2
F. W. Bishop,0,0,2,0,0,2
Fair Mesa Oil Co.,0,0,2,0,0,2
Fairfield-Volunteer Petro,0,0,2,0,0,2
Falcon Oil & Gas Co.,0,0,2,0,0,2
Farris Oil Co.,0,0,2,0,0,2
Federal Oil Co. of Cal.,0,0,2,0,0,2
Felton Oil Co.,0,0,2,0,0,2
Fickert Oil Co.,0,0,2,0,0,2
Finley Company,0,0,2,0,0,2
First Chinese Baptist Church,0,0,2,0,0,2
"Fletcher Oil Co., Inc.",0,0,2,0,0,2
Fornachon & Wilson Inc.,0,0,2,0,0,2
Forster Oil Co.,0,0,2,0,0,2
Four Star Oil Co.,0,0,2,0,0,2
Fowler Drilling & Prod. Co.,0,0,2,0,0,2
Fox M. Boswell and Assoc.,0,0,2,0,0,2
Fox Oil Co.,0,0,2,0,0,2
Frank Buttram,0,0,2,0,0,2
Frank Cannella and Thomas Cannella,0,0,2,0,0,2
Frank E. Abbott,0,0,2,0,0,2
Frank M. Taylor Assoc.,0,0,2,0,0,2
"Frankley, Andrews & Zellers",0,0,2,0,0,2
Fred Bever,0,0,2,0,0,2
Fred M. Manning,0,0,2,0,0,2
Fred M. Sayre,0,0,2,0,0,2
Freem Oil Co.,0,0,2,0,0,2
Fremont Oil Company,0,0,2,0,0,2
Fremont Oil Corp.,0,0,2,0,0,2
Freudenthal and Myers Expl. Co.,0,0,2,0,0,2
Frontier Petro.,0,0,2,0,0,2
Fulton Producing Company,0,0,2,0,0,2
G & E Oil Co.,0,0,2,0,0,2
G & F Oil Co.,0,0,2,0,0,2
G & H Oil Co.,0,0,2,0,0,2
G. J. Magenheimer,0,0,2,0,0,2
G. R. Nance,0,0,2,0,0,2
G. R. Nance & Associates,0,0,2,0,0,2
"G.E.O. Oil & Gas Co., Inc.",0,0,2,0,0,2
Gabriel Oil Co.,0,0,2,0,0,2
Gamma Corp.,0,0,2,0,0,2
Garner-GH Petroleum Co.,0,0,2,0,0,2
"Garner, Lyle A.",0,0,2,0,0,2
"Gas Properties, Inc.",0,0,2,0,0,2
Gaviota Oil Co. of Delaware,0,0,2,0,0,2
"Geo. F. Getty, Inc.",0,0,2,0,0,2
Geo. M. White,0,0,2,0,0,2
George Allen,0,0,2,0,0,2
George E. Willett,0,0,2,0,0,2
George G. Parry,0,0,2,0,0,2
George J Greer,0,0,2,0,0,2
George L. Clayton,0,0,2,0,0,2
George L. Dobson,0,0,2,0,0,2
George Morgan,0,0,2,0,0,2
George W. Stout,0,0,2,0,0,2
George Walters Ind Oil & Gas,0,0,2,0,0,2
Gibralter Res.,0,0,2,0,0,2
Gilliland Oil Co. & Estate of O. C. Davis,0,0,2,0,0,2
Glen H. Mitchel & The Mitchel Co.,0,0,2,0,0,2
Glen Ogles Oil Co.,0,0,2,0,0,2
"Golden Arrow Oil Co., Inc.",0,0,2,0,0,2
Golden Bear Oil Specialties,0,0,2,0,0,2
Golden V Oil Co. and F. E. Snowden,0,0,2,0,0,2
Golden West Association,0,0,2,0,0,2
